surface,route,group,intended,state,primary_code_path,evidence,gap
Contact Suggestions,/contact-suggestions,customer,Suggested new contacts learned from inbound email,REAL,client/src/pages/contact-suggestions.tsx + account_contact_suggestions table (Task #742/#1055),Real accept/ignore actions; signature parser (Task #1055) feeds as soft fallback (23/23 tests pass),None observed
Conversations,/conversations,customer,"Org-scoped inbox (Customers/Carriers/Mine/All/Snoozed/Archived), thread detail, AI summaries, suggested actions, reply UI",REAL,"client/src/pages/conversations.tsx, ThreadDetailPane.tsx; server/routes/conversations.ts; email_conversation_threads + email_messages + conversation_thread_summaries","Customers filter = linkedAccountId IS NOT NULL (storage.ts:9050) — honest counts post DROP-GATE removal; AI summaries cached by contentHash; suggested actions deterministic + LLM-refined dispatching to real handlers; tests/shared-inbox-webhook-e2e.test.ts 33/33 pass",Residual leakage: unstructured-text rate quotes without attachment depend on LLM fallback (known accepted tradeoff)
My Procurement,/my-procurement,carrier,Personal lane-procurement work queue,REAL,client/src/pages/my-procurement.tsx + /api/recurring-lanes/my-procurement,Shared selection hooks + real recurring_lanes reads,None observed
Lane Work Queue,/lanes/work-queue,carrier,Strategic/Outreach/Triage/Admin modes; >=6/30d eligibility from unified upload (Task #1051),REAL,client/src/pages/lane-work-queue.tsx + /api/recurring-lanes/work-queue,"Section 1051 guardrail green (engine reads summarizeEligibleLanesFromFact, no legacy 8-week rule, 7-day grace via last_eligible_at); LWQ row exposes qualification chip + supporting customers + recent carriers; UnifiedUploadFreshnessPill mounted",test:lane-system-e2e failing 4/15 (cross-tab SSE assignment + Shift+L cockpit keyboard) — real regression
Available Freight,/available-freight,carrier,Open freight triage cockpit,REAL,client/src/pages/available-freight.tsx + /api/freight-opportunities + freight_daily_upload_fact (Task #1051),Workflow OS shared selection; freshness pill mounted; AVL rows forced to moved=false,Same test:lane-system-e2e failures touch this surface (Shift+L cockpit)
Available Loads,/carrier-intelligence/available-loads,carrier,Open loads with top-3 carrier suggestions + target buy rate,REAL,client/src/pages/carrier-intelligence-available-loads.tsx + CarrierIntelligenceScoringService,Fit-first ranking with org-tunable lane-fit floor; customer-only fallback bucket,None observed
LM Check-In Log,/lm-checkin-history,carrier,Logistics-manager check-in history,REAL,client/src/pages/lm-checkin-history.tsx + /api/internal/lm-checkin-history,Reads lm_checkin_history,None observed
User Management,/admin/users,admin,User CRUD + role mgmt + bulk CSV,REAL,client/src/pages/admin-users.tsx + /api/users,Full CRUD + role mgmt (Task #815) + bulk CSV import,None observed
Carrier Catalog,/admin/carriers,admin,Carrier list with sourcing performance,REAL,client/src/pages/admin-carriers.tsx + /api/carriers,Lists carriers with sourcing perf via CarrierIntelligenceScoringService,None observed
Monitored Mailboxes,/admin/monitored-mailboxes,admin,Mailboxes scanned for inbound carrier and customer email,REAL,client/src/pages/admin-monitored-mailboxes.tsx + /api/internal/admin/monitored-mailboxes,"Graph subscription mgmt (#230/#997), per-mailbox health, backfill triggers",None observed
FC Rep Audit,/admin/freight-capture-rep-audit,admin,"Audit names appearing as Rep on Freight Capture funnel; link, suppress, merge",REAL,client/src/pages/admin-freight-capture-rep-audit.tsx + /api/internal/admin/freight-capture/unlinked-reps,Triage tool linking string Rep names from email to user accounts,None observed
POD Intake,/admin/pod-intake,admin,AR mailbox proof-of-delivery routing,REAL,client/src/pages/admin-pod-intake.tsx + /api/admin/pod-intake,"AR-mailbox pipeline mgmt (#589); unmatched-order linking; re-forwarding",None observed
Freight Import Health,/admin/available-freight/imports,admin,Per-import health and lane coverage for available freight,REAL,client/src/pages/admin-available-freight-imports.tsx + /api/admin/load-fact/imports,load_fact health monitor (#1041),None observed
Carrier Intel Admin,/admin/carrier-intelligence,admin,"Backfill load_fact, parity reports, import audits",REAL,client/src/pages/admin-carrier-intelligence.tsx + /api/admin/load-fact/parity,"Backfill controls, parity reports, manual refresh",None observed
Webex Health,/admin/webex-health,admin,"Scope coverage, backfill progress, enrichment-job retry queue",REAL,client/src/pages/admin-webex-health.tsx + /api/webex/health,Webex webhook subscriptions + phone number mappings monitor,None observed
Integrations Health,/admin/integrations-health,admin,"Live status of every external integration (SONAR, Graph, Webex, ZoomInfo, OneDrive, TRAC, Stripe)",REAL,client/src/pages/admin-integrations-health.tsx + /api/admin/integrations/health,Live status of all external integrations (Task #710),None observed
Endpoint Perf,/admin/endpoint-perf,admin,Per-route p50/p95/p99 latency vs budget,REAL,client/src/pages/admin-endpoint-perf.tsx + /api/admin/endpoint-perf/overview,Latency monitoring per route from logged request metrics,None observed
Financials,/financials,admin,"Revenue, margin, financial reports",REAL,client/src/pages/financials.tsx + /api/financials/account-summary,Org + per-rep financial reporting from financial_uploads,Stale-data risk: depends on latest uploaded file (UI shows UnifiedUploadFreshnessPill)
Lane Analytics,/historical-data,admin,Historical lane volumes and pricing trends,REAL,client/src/pages/historical-data.tsx + /api/historical-data,Historical volume/pricing trends from financial_loads,None observed
Coordinators Corner,/coordinators-corner,admin,"Shared work queues, scheduling info, portal credentials, missed calls",REAL,client/src/pages/coordinators-corner.tsx + /api/companies (filtered FE),Aggregates scheduling info + portal credentials + missed calls,None observed
PTO Passoff,/pto-passoff,admin,PTO coverage handoffs,REAL,client/src/pages/pto-passoff.tsx + /api/pto-passoffs,Coverage handoffs + open-task reassignment,None observed
Touchpoint History,/touchpoint-history,admin,Org-wide touchpoint audit log,REAL,client/src/pages/touchpoint-history.tsx + /api/touchpoints/history,Org-wide touchpoint audit,None observed
Sidebar Tooltips,/admin/sidebar-tooltips,admin,Edit per-item sidebar tooltip overrides,REAL,client/src/pages/admin-sidebar-tooltips.tsx,Tooltip overrides admin tool,None observed
Feedback Inbox,/feedback-inbox,admin,User feedback and app suggestions,REAL,client/src/pages/feedback-inbox.tsx + /api/chatbot/suggestions,Captures DNA Guru feedback + status updates + admin responses,None observed
Notifications,/notifications,admin,Full notification history,REAL,client/src/pages/notifications.tsx + /api/notifications,Full notification history with read/unread + deep links,None observed
